GID,AGE,INDIVIDUAL_NAME,QUALITY,SEX,SPECIES,VIEW_POINT,CONTRIBUTOR,tags
1983,"infant,adult,adult,juveniles- two year old","IBEIS_PZ_1278,IBEIS_PZ_1366,IBEIS_PZ_1277,IBEIS_PZ_1573","ok,ok,ok,good","Female,Male,Male,Female","zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'ground', 'field', 'standing', 'herd', 'group']"
1984,"juveniles- two year old,adult,juveniles- two year old,adult","IBEIS_PZ_0082,IBEIS_PZ_1366,IBEIS_PZ_1573,IBEIS_PZ_1277","poor,ok,ok,poor","Female,Male,Female,Male","zebra_plains,zebra_plains,zebra_plains,zebra_plains","frontright,left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'standing', 'field', 'group']"
1985,"adult,adult","IBEIS_PZ_1366,IBEIS_PZ_1283","good,good","Male,Female","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'group', 'herd', 'wild']"
1986,adult,IBEIS_PZ_1526,ok,Female,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'herd', 'group', 'wild']"
1987,"adult,adult,adult","IBEIS_PZ_1526,IBEIS_PZ_1248,IBEIS_PZ_1262","ok,ok,good","Female,Male,Male","zebra_plains,zebra_plains,zebra_plains","left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'herd', 'standing', 'group', 'dry']"
1988,"adult,adult","IBEIS_PZ_1268,IBEIS_PZ_1262","junk,ok","Male,Male","zebra_plains,zebra_plains","front,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'herd', 'group', 'dry']"
1989,"infant,adult,adult,adult","IBEIS_PZ_1413,IBEIS_PZ_1526,IBEIS_PZ_1283,IBEIS_PZ_1262","ok,ok,ok,ok","Male,Female,Female,Male","zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field']"
1990,"infant,infant","IBEIS_PZ_1648,IBEIS_PZ_1413","good,ok","Female,Male","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'ground', 'group']"
1991,"adult,infant","IBEIS_PZ_1227,IBEIS_PZ_1648","ok,ok","Male,Female","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'ground', 'animal', 'mammal', 'standing', 'field', 'group']"
1992,"adult,juveniles- two year old,infant","IBEIS_PZ_1909,IBEIS_PZ_1235,IBEIS_PZ_1648","good,ok,ok","Female,Female,Female","zebra_plains,zebra_plains,zebra_plains","left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'ground', 'animal', 'mammal', 'field', 'group']"
1993,"juveniles- two year old,adult","IBEIS_PZ_1235,IBEIS_PZ_1909","ok,good","Female,Female","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'ground', 'mammal']"
1994,adult,IBEIS_PZ_1909,ok,Female,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['zebra', 'outdoor', 'grass', 'animal', 'mammal']"
1995,adult,IBEIS_PZ_1287,ok,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry']"
1996,adult,IBEIS_PZ_1282,ok,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry', 'grassy', 'group']"
1997,"adult,adult","IBEIS_PZ_0394,IBEIS_PZ_1226","excellent,good","Female,Female","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry', 'group']"
1998,"adult,adult,adult","IBEIS_PZ_0394,IBEIS_PZ_1712,IBEIS_PZ_1226","good,good,good","Female,Female,Female","zebra_plains,zebra_plains,zebra_plains","left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry', 'group']"
1999,"juveniles - one year old,adult,adult,adult","IBEIS_PZ_0408,IBEIS_PZ_1712,IBEIS_PZ_1226,IBEIS_PZ_0592","ok,ok,good,ok","Female,Female,Female,Female","zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'outdoor', 'grass', 'animal', 'mammal', 'field', 'standing', 'group', 'dry', 'herd', 'wild']"
2000,"juveniles - one year old,adult,adult","IBEIS_PZ_0408,IBEIS_PZ_0592,IBEIS_PZ_1712","good,good,excellent","Female,Female,Female","zebra_plains,zebra_plains,zebra_plains","left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'standing', 'field']"
2001,"juveniles - one year old,adult,adult","IBEIS_PZ_0408,IBEIS_PZ_0610,IBEIS_PZ_1712","ok,good,good","Female,Male,Female","zebra_plains,zebra_plains,zebra_plains","left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'standing', 'field', 'group', 'dry']"
2002,"infant,adult,adult","IBEIS_PZ_1269,IBEIS_PZ_0610,IBEIS_PZ_0592","poor,good,ok","Female,Male,Female","zebra_plains,zebra_plains,zebra_plains","left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'field', 'mammal', 'herd', 'group', 'wild', 'dry', 'grassy']"
2003,"juveniles- two year old,adult,adult,adult,juveniles- two year old","IBEIS_PZ_1235,IBEIS_PZ_1526,IBEIS_PZ_1909,IBEIS_PZ_1262,IBEIS_PZ_1573","ok,poor,ok,good,good","Female,Female,Female,Male,Female","zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,frontleft,left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'outdoor', 'grass', 'animal', 'sky', 'mammal', 'field', 'herd', 'standing', 'group', 'dry', 'wild']"
2004,"adult,infant,infant,adult","IBEIS_PZ_1526,IBEIS_PZ_1278,____,IBEIS_PZ_1262","ok,good,poor,ok","Female,Female,UNKNOWN NAME,Male","zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'outdoor', 'grass', 'animal', 'herd', 'mammal', 'field', 'standing', 'group', 'dry', 'wild']"
2005,"infant,infant,infant,juveniles- two year old,adult,adult","IBEIS_PZ_1413,IBEIS_PZ_1278,IBEIS_PZ_1285,IBEIS_PZ_1573,IBEIS_PZ_1267,IBEIS_PZ_1526","ok,ok,ok,good,ok,good","Male,Female,Female,Female,Female,Female","zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,left,left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'herd', 'field', 'standing', 'group', 'wild']"
2006,"infant,infant,infant","IBEIS_PZ_1278,IBEIS_PZ_1285,IBEIS_PZ_1413","ok,good,poor","Female,Female,Male","zebra_plains,zebra_plains,zebra_plains","left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'group', 'herd', 'dry', 'wild', 'grassy']"
2007,"adult,adult","IBEIS_PZ_1241,IBEIS_PZ_1909","good,ok","Female,Female","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'sky', 'animal', 'field', 'mammal', 'standing', 'group', 'herd', 'dry', 'grassy']"
2009,adult,IBEIS_PZ_1526,good,Female,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'group']"
2010,"juveniles- two year old,infant","IBEIS_PZ_1235,IBEIS_PZ_1648","ok,good","Female,Female","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'standing', 'field', 'dry']"
2011,"adult,juveniles- two year old,infant","IBEIS_PZ_1909,IBEIS_PZ_1235,IBEIS_PZ_1648","ok,good,ok","Female,Female,Female","zebra_plains,zebra_plains,zebra_plains","left,left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'group', 'dry']"
2012,"adult,juveniles- two year old","IBEIS_PZ_1909,IBEIS_PZ_1235","good,good","Female,Female","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'B',NNP GZC Car '1PURPLE' Person 'B'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry']"
2017,adult,IBEIS_PZ_1224,ok,Male,zebra_plains,backleft,NNP GZC Car '1PURPLE' Person 'B',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry', 'grassy', 'open']"
2018,adult,IBEIS_PZ_1224,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'field', 'sky', 'standing', 'dry', 'open', 'grassy']"
2019,juveniles- two year old,IBEIS_PZ_1294,ok,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry', 'open', 'grassy']"
2020,adult,IBEIS_PZ_1243,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry', 'brown', 'group']"
2021,adult,IBEIS_PZ_1339,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'dry']"
2022,juveniles- two year old,IBEIS_PZ_1219,ok,Female,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'standing', 'mammal', 'dry', 'grassy']"
2023,adult,IBEIS_PZ_1445,excellent,Female,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry', 'open', 'grassy']"
2046,infant,IBEIS_PZ_1336,poor,UNKNOWN SEX,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'B',"['zebra', 'grass', 'outdoor', 'field', 'mammal', 'animal', 'herd', 'group', 'standing', 'wild', 'dry', 'grassy']"
2048,adult,IBEIS_PZ_1299,poor,UNKNOWN SEX,zebra_plains,right,NNP GZC Car '1PURPLE' Person 'B',"['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'field', 'group', 'herd', 'tall']"
2053,"adult,adult","IBEIS_PZ_1234,IBEIS_PZ_1367","poor,ok","Male,Male","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'dry', 'brown', 'grassy', 'standing', 'tall', 'group', 'open']"
2054,adult,IBEIS_PZ_1231,ok,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open']"
2055,"adult,adult,adult","IBEIS_PZ_1231,IBEIS_PZ_1234,IBEIS_PZ_1367","ok,ok,poor","Male,Male,Male","zebra_plains,zebra_plains,zebra_plains","left,left,left","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'field', 'standing', 'grassy']"
2056,adult,IBEIS_PZ_1367,ok,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'field', 'standing', 'grassy', 'open']"
2057,adult,IBEIS_PZ_1272,poor,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'outdoor', 'zebra', 'field', 'animal', 'tall', 'mammal', 'walking', 'brown', 'grassy']"
2058,adult,IBEIS_PZ_1272,poor,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'outdoor', 'zebra', 'animal', 'field', 'tall', 'mammal', 'walking', 'standing', 'group', 'grassy', 'dry']"
2059,adult,IBEIS_PZ_1272,poor,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'tall', 'mammal', 'standing', 'walking', 'group', 'grassy', 'dry']"
2061,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '1PURPLE' Person 'C',"['tree', 'giraffe', 'outdoor', 'grass', 'animal', 'mammal', 'field', 'standing', 'grassy']"
2062,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'outdoor', 'giraffe', 'animal', 'field', 'tree', 'mammal', 'tall', 'standing', 'grassy', 'lone']"
2063,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'outdoor', 'tree', 'animal', 'giraffe', 'mammal', 'field', 'standing', 'tall', 'grassy']"
2064,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '1PURPLE' Person 'C',"['outdoor', 'grass', 'tree', 'giraffe', 'animal', 'mammal', 'field', 'tall']"
2065,"adult,infant","NNP_GIRM_0110,____","ok,poor","Male,UNKNOWN NAME","giraffe_masai,giraffe_masai","left,right","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['tree', 'giraffe', 'outdoor', 'grass', 'animal', 'mammal', 'field', 'standing']"
2066,"adult,infant","NNP_GIRM_0110,____","ok,poor","Male,UNKNOWN NAME","giraffe_masai,giraffe_masai","left,frontright","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['grass', 'outdoor', 'tree', 'giraffe', 'animal', 'field', 'standing', 'mammal', 'green', 'grassy']"
2067,"infant,adult","____,NNP_GIRM_0110","poor,ok","UNKNOWN NAME,Male","giraffe_masai,giraffe_masai","right,backleft","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['grass', 'outdoor', 'tree', 'giraffe', 'field', 'animal', 'mammal', 'standing', 'grassy']"
2068,infant,____,good,UNKNOWN NAME,giraffe_masai,backleft,NNP GZC Car '1PURPLE' Person 'C',"['giraffe', 'tree', 'outdoor', 'sky', 'grass', 'animal', 'mammal', 'field', 'standing']"
2069,"infant,infant","NNP_GIRM_0113,____","ok,poor","UNKNOWN SEX,UNKNOWN NAME","giraffe_masai,giraffe_masai","left,left","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['giraffe', 'outdoor', 'grass', 'tree', 'animal', 'mammal', 'field', 'standing', 'grassy']"
2070,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '1PURPLE' Person 'C',"['tree', 'outdoor', 'giraffe', 'grass', 'animal', 'mammal', 'field', 'standing', 'deer', 'tall', 'green', 'grassy', 'wild']"
2071,"adult,infant","NNP_GIRM_0109,____","ok,poor","Female,UNKNOWN NAME","giraffe_masai,giraffe_masai","left,left","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['giraffe', 'tree', 'outdoor', 'grass', 'animal', 'field', 'standing', 'mammal']"
2075,adult,IBEIS_PZ_0355,ok,Male,zebra_plains,frontleft,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'standing', 'mammal', 'dry', 'grassy']"
2076,"adult,adult,juveniles- two year old","IBEIS_PZ_1225,IBEIS_PZ_0503,IBEIS_PZ_0342","ok,ok,ok","Male,Female,Female","zebra_plains,zebra_plains,zebra_plains","backleft,backleft,left","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['zebra', 'grass', 'outdoor', 'sky', 'animal', 'mammal', 'field', 'standing']"
2078,"adult,infant","IBEIS_PZ_1303,IBEIS_PZ_1313","poor,ok","Female,UNKNOWN SEX","zebra_plains,zebra_plains","backright,right","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry', 'group', 'tall', 'herd']"
2079,adult,IBEIS_PZ_0355,excellent,Male,zebra_plains,frontleft,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'dry', 'grassy']"
2080,"infant,infant","____,____","ok,poor","UNKNOWN NAME,UNKNOWN NAME","giraffe_masai,giraffe_masai","right,back","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['grass', 'giraffe', 'outdoor', 'tree', 'animal', 'field', 'tall', 'standing', 'walking', 'grassy', 'wild']"
2082,juveniles- two year old,IBEIS_PZ_1294,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'C',"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field']"
2083,adult,IBEIS_PZ_1224,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'standing', 'field', 'grassy']"
2084,juveniles- two year old,IBEIS_PZ_1219,junk,Female,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'C',"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'group']"
2085,"infant,infant","IBEIS_PZ_1307,IBEIS_PZ_1297","poor,junk","UNKNOWN SEX,UNKNOWN SEX","zebra_plains,zebra_plains","left,left","NNP GZC Car '1PURPLE' Person 'C',NNP GZC Car '1PURPLE' Person 'C'","['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'grassy', 'group']"
2086,adult,IBEIS_PZ_0302,ok,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'tall', 'herd', 'group', 'walking', 'grassy']"
2087,adult,IBEIS_PZ_0302,poor,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'field', 'sky', 'herd', 'group', 'grassy', 'tall', 'farm machine']"
2088,adult,IBEIS_PZ_0302,poor,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'animal', 'sky', 'field', 'mammal', 'tall', 'herd', 'group', 'grassy']"
2089,adult,IBEIS_PZ_1166,ok,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'tall', 'mammal', 'herd', 'group', 'grassy']"
2090,adult,IBEIS_PZ_1231,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'grassy']"
2091,adult,IBEIS_PZ_1234,ok,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'grassy', 'dry']"
2092,adult,IBEIS_PZ_1234,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'dry', 'grassy']"
2093,adult,IBEIS_PZ_1367,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'grassy', 'dry', 'adult', 'open']"
2094,adult,IBEIS_PZ_1367,poor,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'grassy', 'tall']"
2095,adult,IBEIS_PZ_1231,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy']"
2096,adult,IBEIS_PZ_1231,excellent,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy']"
2097,adult,IBEIS_PZ_1234,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open']"
2098,adult,IBEIS_PZ_1367,good,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy']"
2099,adult,IBEIS_PZ_1272,poor,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'outdoor', 'zebra', 'tall', 'animal', 'field', 'mammal', 'grassy', 'dry']"
2100,adult,IBEIS_PZ_1272,poor,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'outdoor', 'zebra', 'tall', 'field', 'animal', 'mammal', 'brown', 'walking', 'grassy']"
2101,adult,IBEIS_PZ_1272,poor,Male,zebra_plains,left,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'outdoor', 'zebra', 'animal', 'mammal', 'tall', 'field', 'grassy']"
2102,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '1PURPLE' Person 'D',"['grass', 'outdoor', 'giraffe', 'tree', 'animal', 'mammal', 'field', 'tall', 'standing']"
2103,adult,NNP_GIRM_0110,ok,Male,giraffe_masai,left,NNP GZC Car '1PURPLE' Person 'D',"['giraffe', 'tree', 'outdoor', 'grass', 'animal', 'mammal', 'field', 'standing']"
2104,adult,NNP_GIRM_0110,good,Male,giraffe_masai,backleft,NNP GZC Car '1PURPLE' Person 'D',"['giraffe', 'tree', 'outdoor', 'animal', 'mammal', 'standing', 'tall']"
2105,juveniles- two year old,NNP_GIRM_0114,ok,Male,giraffe_masai,frontleft,NNP GZC Car '1PURPLE' Person 'D',"['giraffe', 'outdoor', 'grass', 'animal', 'mammal', 'standing', 'field', 'green', 'tall']"
2106,"adult,infant","NNP_GIRM_0109,____","ok,ok","Female,UNKNOWN NAME","giraffe_masai,giraffe_masai","left,front","NNP GZC Car '1PURPLE' Person 'D',NNP GZC Car '1PURPLE' Person 'D'","['grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'hyena', 'giraffe']"
2107,"adult,adult,infant","NNP_GIRM_0112,NNP_GIRM_0109,____","ok,ok,ok","Female,Female,UNKNOWN NAME","giraffe_masai,giraffe_masai,giraffe_masai","left,left,front","NNP GZC Car '1PURPLE' Person 'D',NNP GZC Car '1PURPLE' Person 'D',NNP GZC Car '1PURPLE' Person 'D'","['giraffe', 'tree', 'outdoor', 'grass', 'animal', 'mammal', 'standing', 'field']"
2108,"adult,adult","NNP_GIRM_0112,NNP_GIRM_0109","ok,ok","Female,Female","giraffe_masai,giraffe_masai","left,left","NNP GZC Car '1PURPLE' Person 'D',NNP GZC Car '1PURPLE' Person 'D'","['giraffe', 'outdoor', 'grass', 'tree', 'animal', 'field', 'mammal']"
2109,"adult,adult,infant","NNP_GIRM_0112,NNP_GIRM_0109,____","ok,ok,ok","Female,Female,UNKNOWN NAME","giraffe_masai,giraffe_masai,giraffe_masai","left,left,front","NNP GZC Car '1PURPLE' Person 'D',NNP GZC Car '1PURPLE' Person 'D',NNP GZC Car '1PURPLE' Person 'D'","['tree', 'giraffe', 'outdoor', 'grass', 'animal', 'mammal', 'field']"
2110,"adult,infant,infant","NNP_GIRM_0112,____,____","good,ok,poor","Female,UNKNOWN NAME,UNKNOWN NAME","giraffe_masai,giraffe_masai,giraffe_masai","left,front,left","NNP GZC Car '1PURPLE' Person 'D',NNP GZC Car '1PURPLE' Person 'D',NNP GZC Car '1PURPLE' Person 'D'","['outdoor', 'grass', 'giraffe', 'tree', 'animal', 'mammal', 'field']"
2111,infant,____,excellent,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '1PURPLE' Person 'D',"['tree', 'outdoor', 'grass', 'giraffe', 'animal', 'mammal', 'field', 'green', 'tall']"
2112,infant,____,good,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '1PURPLE' Person 'D',"['tree', 'outdoor', 'giraffe', 'grass', 'animal', 'mammal', 'field', 'tall', 'grassy']"
2113,infant,____,good,UNKNOWN NAME,giraffe_masai,right,NNP GZC Car '1PURPLE' Person 'D',"['giraffe', 'tree', 'outdoor', 'grass', 'animal', 'mammal', 'standing', 'field', 'tall']"
2114,adult,NNP_GIRM_0109,ok,Female,giraffe_masai,left,NNP GZC Car '1PURPLE' Person 'D',"['tree', 'giraffe', 'outdoor', 'grass', 'animal', 'mammal', 'field', 'standing', 'green', 'tall']"
