GID,Album,AGE,INDIVIDUAL_NAME,QUALITY,SEX,SPECIES,VIEW_POINT,tags,Shares,Not Shares,Total,Proportion,URL
4888,"photo_album_77,photo_album_77,photo_album_77","adult,infant,adult","IBEIS_PZ_0841,IBEIS_PZ_0853,IBEIS_PZ_0420","ok,poor,poor","UNKNOWN SEX,UNKNOWN SEX,Female","zebra_plains,zebra_plains,zebra_plains","left,left,left","['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'tall', 'group', 'standing', 'grassy', 'wild']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/4888.jpeg"" width = ""350"">"
3329,photo_album_84,infant,IBEIS_PZ_0961,ok,UNKNOWN SEX,zebra_plains,frontright,"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open', 'lush', 'lone']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3329.jpeg"" width = ""350"">"
9059,"photo_album_68,photo_album_68","infant,infant","IBEIS_PZ_0642,IBEIS_PZ_0643","ok,poor","UNKNOWN SEX,UNKNOWN SEX","zebra_plains,zebra_plains","backleft,left","['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'tall', 'standing', 'grassy', 'brown', 'group', 'herd', 'dry', 'wild']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/9059.jpeg"" width = ""350"">"
4845,"photo_album_44,photo_album_44","adult,infant","IBEIS_PZ_0512,____","good,poor","Female,UNKNOWN NAME","zebra_plains,zebra_plains","left,left","['zebra', 'outdoor', 'grass', 'sky', 'animal', 'mammal', 'field', 'group']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/4845.jpeg"" width = ""350"">"
3380,photo_album_92,adult,IBEIS_PZ_0714,good,Male,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'animal', 'tree', 'field', 'mammal', 'grazing', 'standing', 'grassy', 'lush']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3380.jpeg"" width = ""350"">"
4839,"photo_album_44,photo_album_44,photo_album_44,photo_album_44,photo_album_44,photo_album_44,photo_album_44,photo_album_44","infant,adult,juveniles - one year old,infant,infant,infant,infant,infant","____,IBEIS_PZ_1590,IBEIS_PZ_1592,____,____,____,____,____","ok,good,ok,poor,ok,junk,poor,ok","UNKNOWN NAME,Female,Female,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains","backleft,left,left,backleft,backleft,left,back,back","['grass', 'outdoor', 'zebra', 'sky', 'field', 'mammal', 'animal', 'herd', 'group']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/4839.jpeg"" width = ""350"">"
3390,photo_album_92,adult,IBEIS_PZ_0719,good,Male,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'mammal', 'animal', 'field', 'standing', 'grassy', 'lush']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3390.jpeg"" width = ""350"">"
3395,photo_album_95,adult,IBEIS_PZ_1742,excellent,Male,zebra_plains,left,"['outdoor', 'ground', 'zebra', 'animal', 'mammal', 'grass', 'dirt', 'sandy']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3395.jpeg"" width = ""350"">"
3401,"photo_album_93,photo_album_93","infant,adult","IBEIS_PZ_0898,IBEIS_PZ_0876","poor,poor","UNKNOWN SEX,Female","zebra_plains,zebra_plains","backleft,backleft","['zebra', 'outdoor', 'grass', 'animal', 'ground', 'mammal', 'field', 'standing', 'dirt']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3401.jpeg"" width = ""350"">"
9175,photo_album_68,adult,NNP_GIRM_0039,good,UNKNOWN SEX,giraffe_masai,right,"['giraffe', 'outdoor', 'grass', 'animal', 'sky', 'mammal', 'field', 'grassy']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/9175.jpeg"" width = ""350"">"
3443,photo_album_7,infant,NNP_GIRM_0066,ok,UNKNOWN SEX,giraffe_masai,frontleft,"['outdoor', 'grass', 'sky', 'tree', 'giraffe', 'animal', 'field', 'mammal', 'standing', 'green', 'grassy', 'llama', 'bushes', 'lush', 'donkey', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3443.jpeg"" width = ""350"">"
9239,"photo_album_23,photo_album_73,photo_album_23,photo_album_73,photo_album_23,photo_album_73,photo_album_23,photo_album_73","adult,adult,juveniles- two year old,juveniles- two year old,infant,infant,infant,infant","IBEIS_PZ_0735,IBEIS_PZ_0735,IBEIS_PZ_0711,IBEIS_PZ_0711,IBEIS_PZ_0726,IBEIS_PZ_0726,IBEIS_PZ_0728,IBEIS_PZ_0728","ok,ok,poor,poor,poor,poor,poor,poor","Male,Male,Female,Female,UNKNOWN SEX,UNKNOWN SEX,UNKNOWN SEX,UNKNOWN SEX","zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,left,left,left,left,front,front","['zebra', 'grass', 'outdoor', 'animal', 'tree', 'mammal', 'field', 'standing', 'group', 'wild', 'lush']",14,6,20,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/9239.jpeg"" width = ""350"">"
3454,photo_album_93,infant,IBEIS_PZ_0899,good,UNKNOWN SEX,zebra_plains,right,"['grass', 'outdoor', 'field', 'animal', 'grazing', 'standing', 'mammal', 'grassy', 'zebra', 'open', 'lone', 'lush']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3454.jpeg"" width = ""350"">"
4816,photo_album_44,adult,NNP_GIRM_0151,ok,Male,giraffe_masai,left,"['giraffe', 'outdoor', 'grass', 'sky', 'field', 'standing', 'tall', 'mammal', 'wild', 'bushes', 'lush']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/4816.jpeg"" width = ""350"">"
18,photo_album_57,infant,____,excellent,UNKNOWN NAME,giraffe_masai,right,"['grass', 'outdoor', 'animal', 'field', 'sky', 'mammal', 'giraffe', 'standing', 'grassy', 'open', 'tall', 'lone', 'lush', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/18.jpeg"" width = ""350"">"
3976,photo_album_52,infant,____,poor,UNKNOWN NAME,zebra_plains,right,"['zebra', 'ground', 'outdoor', 'animal', 'mammal', 'standing', 'dirt']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3976.jpeg"" width = ""350"">"
4673,"photo_album_63,photo_album_63,photo_album_63","infant,infant,infant","____,____,____","ok,poor,junk","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains","right,left,frontleft","['grass', 'outdoor', 'sky', 'field', 'animal', 'herd', 'mammal', 'group', 'grassy', 'open', 'wild']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/4673.jpeg"" width = ""350"">"
4275,"photo_album_99,photo_album_99,photo_album_99,photo_album_99","infant,infant,infant,infant","____,____,____,____","poor,good,junk,ok","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains,zebra_plains","backright,backright,backright,backright","['outdoor', 'zebra', 'sky', 'grass', 'ground', 'animal', 'mammal', 'field', 'dirt']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/4275.jpeg"" width = ""350"">"
76,"photo_album_57,photo_album_85","infant,infant","____,____","poor,poor","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","frontright,frontright","['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'dry', 'grassy', 'open', 'giraffe']",14,6,20,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/76.jpeg"" width = ""350"">"
141,"photo_album_38,photo_album_75,photo_album_38,photo_album_75","infant,infant,infant,infant","IBEIS_PZ_1543,IBEIS_PZ_1543,____,____","ok,ok,good,good","Male,Male,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,backleft,backleft","['zebra', 'grass', 'outdoor', 'tree', 'field', 'animal', 'sky', 'mammal', 'standing', 'grassy', 'dry', 'open']",14,6,20,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/141.jpeg"" width = ""350"">"
8500,photo_album_73,juveniles- two year old,IBEIS_PZ_0056,good,Female,zebra_plains,frontleft,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'dry', 'grazing', 'standing', 'tall', 'grassy', 'lone', 'wild']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8500.jpeg"" width = ""350"">"
4930,photo_album_77,juveniles- two year old,IBEIS_PZ_0401,good,Female,zebra_plains,left,"['grass', 'outdoor', 'sky', 'zebra', 'field', 'mammal', 'animal', 'standing', 'dry', 'tall', 'grassy', 'open', 'plain']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/4930.jpeg"" width = ""350"">"
2492,photo_album_53,juveniles- two year old,IBEIS_PZ_1294,good,Male,zebra_plains,left,"['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'open', 'dry']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2492.jpeg"" width = ""350"">"
2603,photo_album_21,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,"['grass', 'outdoor', 'giraffe', 'tree', 'sky', 'field', 'tall', 'standing', 'plant', 'grassy', 'group', 'wild', 'bushes', 'dry']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2603.jpeg"" width = ""350"">"
2665,photo_album_21,juveniles - one year old,IBEIS_PZ_1291,ok,Male,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'sky', 'animal', 'field', 'mammal', 'standing', 'dry', 'tall', 'grassy', 'wild']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2665.jpeg"" width = ""350"">"
8725,photo_album_78,juveniles- two year old,IBEIS_PZ_0342,ok,Female,zebra_plains,left,"['zebra', 'grass', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'dry']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8725.jpeg"" width = ""350"">"
5181,photo_album_39,adult,IBEIS_PZ_1841,good,Male,zebra_plains,left,"['grass', 'outdoor', 'animal', 'field', 'mammal', 'standing', 'mountain', 'zebra', 'tall', 'open', 'wild', 'grassy', 'giraffe']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5181.jpeg"" width = ""350"">"
1329,"photo_album_15,photo_album_89,photo_album_15,photo_album_89,photo_album_15,photo_album_89","adult,adult,adult,adult,adult,adult","IBEIS_PZ_0885,IBEIS_PZ_0885,IBEIS_PZ_1412,IBEIS_PZ_1412,IBEIS_PZ_1567,IBEIS_PZ_1567","ok,ok,ok,ok,ok,ok","Male,Male,UNKNOWN SEX,UNKNOWN SEX,Male,Male","zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,backleft,backleft,left,left","['zebra', 'grass', 'outdoor', 'mammal', 'animal', 'sky', 'field', 'standing', 'grassy', 'wild', 'lush']",14,6,20,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1329.jpeg"" width = ""350"">"
2943,photo_album_79,adult,IBEIS_PZ_0333,ok,Male,zebra_plains,left,"['grass', 'outdoor', 'zebra', 'field', 'sky', 'animal', 'mammal', 'standing', 'group', 'open', 'dry', 'grassy', 'plain', 'wild', 'bushes', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2943.jpeg"" width = ""350"">"
5109,photo_album_37,infant,NNP_GIRM_0148,ok,Female,giraffe_masai,left,"['outdoor', 'grass', 'giraffe', 'animal', 'tree', 'mammal', 'field', 'standing', 'tall', 'grassy', 'open', 'lone', 'dry', 'wild']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5109.jpeg"" width = ""350"">"
3080,photo_album_61,infant,____,poor,UNKNOWN NAME,giraffe_masai,right,"['grass', 'outdoor', 'field', 'giraffe', 'animal', 'mammal', 'green', 'grassy', 'lush', 'wild', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3080.jpeg"" width = ""350"">"
5094,photo_album_37,adult,IBEIS_PZ_1827,good,UNKNOWN SEX,zebra_plains,left,"['grass', 'outdoor', 'tree', 'zebra', 'animal', 'standing', 'mammal', 'field', 'giraffe']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5094.jpeg"" width = ""350"">"
353,"photo_album_1,photo_album_19,photo_album_82","infant,infant,infant","____,____,____","good,good,good","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains","right,right,right","['zebra', 'outdoor', 'grass', 'tree', 'mammal', 'animal', 'standing', 'field']",21,9,30,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/353.jpeg"" width = ""350"">"
5012,photo_album_4,adult,IBEIS_PZ_0182,excellent,Male,zebra_plains,left,"['zebra', 'outdoor', 'grass', 'tree', 'animal', 'mammal', 'field', 'standing', 'open', 'day']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5012.jpeg"" width = ""350"">"
8850,"photo_album_78,photo_album_78","juveniles- two year old,adult","IBEIS_PZ_0395,IBEIS_PZ_0379","poor,ok","Female,Female","zebra_plains,zebra_plains","left,left","['grass', 'zebra', 'outdoor', 'animal', 'sky', 'field', 'herd', 'mammal', 'group', 'grassy', 'wild', 'open', 'plain', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8850.jpeg"" width = ""350"">"
8863,photo_album_73,adult,IBEIS_PZ_0425,ok,Male,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'grassy', 'open']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8863.jpeg"" width = ""350"">"
3138,photo_album_61,adult,NNP_GIRM_0059,ok,Female,giraffe_masai,right,"['grass', 'outdoor', 'tree', 'giraffe', 'sky', 'field', 'animal', 'green', 'standing', 'mammal', 'grassy', 'lush', 'wild', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3138.jpeg"" width = ""350"">"
3152,photo_album_98,adult,NNP_GIRM_0055,good,Female,giraffe_masai,left,"['grass', 'outdoor', 'giraffe', 'sky', 'tree', 'animal', 'mammal', 'field', 'standing', 'green', 'grassy', 'lush', 'day']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3152.jpeg"" width = ""350"">"
3162,"photo_album_6,photo_album_98,photo_album_6,photo_album_98,photo_album_6,photo_album_98,photo_album_6,photo_album_98","adult,adult,juveniles- two year old,juveniles- two year old,juveniles- two year old,juveniles- two year old,juveniles- two year old,juveniles- two year old","NNP_GIRM_0040,NNP_GIRM_0040,NNP_GIRM_0051,NNP_GIRM_0051,NNP_GIRM_0049,NNP_GIRM_0049,NNP_GIRM_0067,NNP_GIRM_0067","ok,ok,ok,ok,ok,ok,ok,ok","Female,Female,Male,Male,Male,Male,UNKNOWN SEX,UNKNOWN SEX","giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai","right,right,right,right,backright,backright,right,right","['giraffe', 'grass', 'sky', 'outdoor', 'field', 'animal', 'mammal', 'grassy', 'standing', 'group', 'green', 'open', 'lush']",14,6,20,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3162.jpeg"" width = ""350"">"
253,photo_album_97,adult,IBEIS_PZ_1542,good,Female,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'grassy', 'lush']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/253.jpeg"" width = ""350"">"
3166,photo_album_61,infant,____,ok,UNKNOWN NAME,giraffe_masai,right,"['tree', 'giraffe', 'outdoor', 'sky', 'grass', 'animal', 'mammal', 'field', 'standing', 'green', 'grassy', 'lush', 'day']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3166.jpeg"" width = ""350"">"
3203,photo_album_18,adult,IBEIS_PZ_0067,good,Female,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'grazing', 'standing', 'grassy', 'lush']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3203.jpeg"" width = ""350"">"
4978,"photo_album_86,photo_album_86","infant,adult","IBEIS_PZ_1391,IBEIS_PZ_1397","ok,ok","UNKNOWN SEX,Male","zebra_plains,zebra_plains","left,left","['zebra', 'grass', 'outdoor', 'animal', 'mammal', 'field', 'herd', 'mountain', 'group', 'wild', 'tall', 'dry']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/4978.jpeg"" width = ""350"">"
536,"photo_album_10,photo_album_20,photo_album_10,photo_album_20","adult,adult,infant,infant","IBEIS_PZ_0875,IBEIS_PZ_0875,____,____","ok,ok,poor,poor","Male,Male,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,left,left","['grass', 'zebra', 'outdoor', 'mammal', 'tree', 'animal', 'field', 'standing', 'grassy', 'lush']",14,6,20,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/536.jpeg"" width = ""350"">"
3348,"photo_album_7,photo_album_84","adult,adult","IBEIS_PZ_0930,IBEIS_PZ_0930","good,good","Male,Male","zebra_plains,zebra_plains","left,left","['zebra', 'grass', 'outdoor', 'tree', 'animal', 'mammal', 'field', 'standing', 'lone', 'grassy', 'lush']",14,6,20,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3348.jpeg"" width = ""350"">"
537,"photo_album_36,photo_album_36,photo_album_36","juveniles- two year old,infant,infant","IBEIS_PZ_0902,____,____","ok,poor,poor","Female,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains","frontleft,left,left","['zebra', 'outdoor', 'grass', 'animal', 'mammal', 'field', 'standing', 'baby', 'adult', 'mother']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/537.jpeg"" width = ""350"">"
634,photo_album_72,infant,____,poor,UNKNOWN NAME,zebra_plains,left,"['grass', 'outdoor', 'sky', 'zebra', 'field', 'tall', 'animal', 'mammal', 'standing', 'dry', 'grassy', 'brown', 'open', 'lone', 'high']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/634.jpeg"" width = ""350"">"
562,"photo_album_28,photo_album_28,photo_album_28","adult,infant,infant","IBEIS_PZ_1542,____,____","ok,poor,junk","Female,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains","left,left,right","['grass', 'outdoor', 'zebra', 'tree', 'animal', 'mammal', 'field', 'grazing', 'standing', 'grassy', 'lush']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/562.jpeg"" width = ""350"">"
1240,"photo_album_40,photo_album_40,photo_album_40","adult,juveniles - one year old,adult","IBEIS_PZ_0394,IBEIS_PZ_0423,IBEIS_PZ_1111","poor,ok,good","Female,Female,Female","zebra_plains,zebra_plains,zebra_plains","frontleft,frontleft,left","['grass', 'zebra', 'outdoor', 'sky', 'mammal', 'animal', 'field', 'standing', 'group', 'herd', 'tall', 'dry', 'grassy']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1240.jpeg"" width = ""350"">"
4574,"photo_album_63,photo_album_63,photo_album_63,photo_album_63","infant,infant,infant,adult","____,____,____,IBEIS_PZ_0620","ok,poor,poor,good","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,Female","zebra_plains,zebra_plains,zebra_plains,zebra_plains","backleft,left,backleft,left","['grass', 'sky', 'zebra', 'outdoor', 'field', 'mammal', 'animal', 'group', 'herd', 'standing', 'grassy', 'open', 'plain', 'distance', 'lush']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/4574.jpeg"" width = ""350"">"
703,photo_album_70,infant,IBEIS_PZ_1640,excellent,UNKNOWN SEX,zebra_plains,left,"['zebra', 'grass', 'outdoor', 'sky', 'animal', 'field', 'mammal', 'standing', 'group', 'dry']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/703.jpeg"" width = ""350"">"
7886,photo_album_16,adult,IBEIS_PZ_0205,ok,Male,zebra_plains,left,"['zebra', 'outdoor', 'grass', 'ground', 'mammal', 'tree', 'animal', 'standing', 'field', 'dirt', 'lone', 'bushes', 'wild', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/7886.jpeg"" width = ""350"">"
563,"photo_album_28,photo_album_28","infant,infant","____,____","poor,poor","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","left,left","['grass', 'outdoor', 'tree', 'zebra', 'animal', 'field', 'mammal', 'grassy', 'lush', 'wild']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/563.jpeg"" width = ""350"">"
827,"photo_album_50,photo_album_50","adult,adult","IBEIS_PZ_1378,IBEIS_PZ_1382","ok,ok","Male,Male","zebra_plains,zebra_plains","backleft,backleft","['zebra', 'grass', 'outdoor', 'ground', 'mammal', 'animal', 'road', 'walking', 'dirt', 'mountain', 'path']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/827.jpeg"" width = ""350"">"
829,"photo_album_50,photo_album_50","adult,adult","IBEIS_PZ_1382,IBEIS_PZ_1378","ok,ok","Male,Male","zebra_plains,zebra_plains","backleft,backleft","['grass', 'outdoor', 'zebra', 'sky', 'animal', 'mammal', 'dirt']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/829.jpeg"" width = ""350"">"
7844,"photo_album_88,photo_album_88,photo_album_88","infant,adult,infant","IBEIS_PZ_0014,IBEIS_PZ_0010,IBEIS_PZ_0185","ok,ok,ok","UNKNOWN SEX,Male,Female","zebra_plains,zebra_plains,zebra_plains","left,frontright,back","['zebra', 'outdoor', 'tree', 'grass', 'sky', 'ground', 'animal', 'mammal', 'standing', 'dirt', 'giraffe']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/7844.jpeg"" width = ""350"">"
8236,photo_album_43,adult,IBEIS_PZ_0215,poor,Female,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'standing', 'lone', 'wild', 'dry']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8236.jpeg"" width = ""350"">"
888,photo_album_48,adult,IBEIS_PZ_1376,ok,UNKNOWN SEX,zebra_plains,left,"['grass', 'outdoor', 'zebra', 'sky', 'animal', 'field', 'mammal', 'standing', 'grassy', 'dry', 'open', 'bushes', 'wild', 'lone', 'giraffe', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/888.jpeg"" width = ""350"">"
8233,photo_album_43,infant,IBEIS_PZ_0203,ok,UNKNOWN SEX,zebra_plains,backleft,"['grass', 'outdoor', 'zebra', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open', 'dry', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8233.jpeg"" width = ""350"">"
8181,"photo_album_100,photo_album_100","adult,juveniles - one year old","IBEIS_PZ_0113,IBEIS_PZ_0106","good,excellent","Male,Male","zebra_plains,zebra_plains","left,left","['zebra', 'grass', 'outdoor', 'animal', 'field', 'mammal', 'group', 'open', 'plain', 'dry', 'wild', 'distance']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8181.jpeg"" width = ""350"">"
1102,"photo_album_29,photo_album_90","infant,infant","____,____","poor,poor","UNKNOWN NAME,UNKNOWN NAME","giraffe_masai,giraffe_masai","left,left","['giraffe', 'outdoor', 'grass', 'sky', 'animal', 'standing', 'mammal', 'field', 'deer', 'tall', 'grassy', 'lone', 'wild']",14,6,20,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1102.jpeg"" width = ""350"">"
571,photo_album_36,infant,____,good,UNKNOWN NAME,zebra_plains,right,"['grass', 'zebra', 'outdoor', 'animal', 'sky', 'field', 'mammal', 'standing', 'open']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/571.jpeg"" width = ""350"">"
7949,photo_album_16,juveniles- two year old,IBEIS_PZ_0028,good,Female,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'animal', 'ground', 'mammal', 'field', 'dirt', 'dry', 'lone']",7,3,10,70.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/7949.jpeg"" width = ""350"">"
